Day1_collection_cr,Production_House_Score,Director_Score,Runtime (min),Release_Year,Release_Month,Release_Day_of_Week,Promotion_Duration_Days,Genre_Drama,Genre_Comedy,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Crime,Genre_Other,avg_sentiment,median_sentiment
5.03,53.59314855,15.63074913,140,2021,11,4,17,0,0,1,0,0,1,0,0.5578,0.736
10.26,67.43552812,15.63074913,156,2023,8,4,8,1,1,0,0,0,0,0,0.436,0.6309
1.22,34.52374557,15.63074913,119,2017,7,4,280,1,0,0,0,0,0,0,0.4617,0.69195
8.75,53.59314855,15.63074913,150,2019,1,4,38,1,0,0,0,0,0,1,0.5617,0.74565
10.25,100,15.63074913,158,2022,7,4,28,1,0,1,0,0,0,0,0.2448,0.39135
0.1,34.52374557,15.63074913,113,2017,3,4,29,1,0,0,0,0,0,0,0.5511,0.6249
1.3,34.52374557,15.63074913,123,2024,11,4,9,1,0,0,0,0,1,0,0.503,0.74905
0.001,34.52374557,15.63074913,149,2025,4,4,27,0,1,0,0,0,0,1,0.5313,0.7213
2.05,34.52374557,15.63074913,122,2017,8,4,45,1,0,1,0,0,0,0,0.4433,0.56465
0.01,53.59314855,15.63074913,127,2023,6,4,25,0,0,0,1,0,1,0,0.53566,0.66919
1.4,34.52374557,15.63074913,147,2025,1,4,11,1,0,1,0,0,0,0,0.5524,0.69665
0.2,34.52374557,15.63074913,148,2024,4,4,11,1,0,0,0,0,0,1,0.2578,0.3435
1.25,34.52374557,15.63074913,120,2023,7,4,9,1,0,0,0,0,1,0,0.4378,0.5352
4.75,39.87847455,27.75949514,165,2019,11,4,31,1,1,0,0,0,0,0,0.6456,0.73495
7.03,39.87847455,15.63074913,136,2019,11,4,0,1,0,1,0,1,0,0,0.54148,0.6974
0.07,34.52374557,15.63074913,105,2018,1,4,0,1,0,0,0,0,0,1,0.5185,0.65867
40.1,53.59314855,15.63074913,170,2023,8,4,16,0,0,1,0,0,0,1,0.3882,0.6697
1.2,34.52374557,15.63074913,145,2019,3,4,53,1,0,0,0,0,0,0,0.36594,0.47592
10.27,34.52374557,25.95144992,135,2017,5,4,39,0,0,0,0,1,0,0,0.5336,0.6647
0.06,34.52374557,15.63074913,90,2017,3,4,674,1,0,0,0,0,0,0,0.5994,0.5994
0.1,34.52374557,15.63074913,124,2016,8,4,0,0,1,0,0,0,0,0,0.45862,0.62111
0.32,34.52374557,15.63074913,128,2017,6,4,39,0,1,0,0,0,0,0,0.5984,0.77145
2.86,39.87847455,3.194084169,136,2016,12,4,367,1,0,0,0,0,0,0,0.4594,0.6249
0.12,34.52374557,15.63074913,110,2017,2,4,24,1,0,0,0,0,0,0,0.37946,0.43977
0.1,34.52374557,15.63074913,125,2017,4,4,0,1,0,0,0,0,0,0,0.45356,0.51555
0.03,34.52374557,15.63074913,0,2023,10,4,17,1,1,0,0,0,0,0,0.7134,0.8402
0.25,34.52374557,15.63074913,139,2024,9,4,8,1,0,0,0,0,0,1,0.3533,0.4019
10.7,34.52374557,15.63074913,125,2018,6,4,37,1,1,0,0,0,0,0,0.39244,0.58482
20.52,39.87847455,15.63074913,141,2018,8,2,48,0,0,1,0,0,0,1,0.5024,0.61215
10.43,34.52374557,15.63074913,139,2017,1,2,89,1,0,0,0,0,0,0,0.2945,0.3818
0.3,34.52374557,15.63074913,116,2017,4,4,0,0,0,1,0,1,0,0,0.37946,0.43977
1.25,58.78836239,15.63074913,106,2019,7,4,36,1,1,1,0,0,0,0,0.7447,0.90485
0.5,34.52374557,15.63074913,141,2025,9,4,18,0,1,0,0,1,0,0,0.3676,0.3612
0.4,50.08554175,15.63074913,104,2016,4,4,0,1,0,0,1,0,0,0,0.44604,0.57761
0.02,39.87847455,15.63074913,126,2022,10,4,20,1,0,0,0,1,0,0,0.5207,0.76835
0.01,34.52374557,15.63074913,112,2022,10,4,29,1,0,0,0,1,0,0,0.37946,0.43977
11.25,72.76391152,15.63074913,164,2024,12,2,16,0,0,1,1,0,0,0,-0.041,-0.34
10.43,34.52374557,15.63074913,129,2016,5,4,0,0,0,0,0,0,1,0,0.44536,0.48633
0.4,53.59314855,15.63074913,140,2025,7,4,10,1,0,0,0,1,0,0,0.5701,0.7265
2.32,0,15.63074913,126,2016,8,4,11,0,1,0,0,0,0,0,0.37946,0.43977
1,39.87847455,15.63074913,123,2021,1,4,16,1,0,0,0,0,0,0,0.338,0.43475
0.25,50.08554175,15.63074913,0,2018,5,4,16,1,0,0,0,0,0,0,0.4933,0.59265
16.1,50.08554175,15.63074913,150,2017,9,4,39,0,1,1,0,0,0,0,0.6433,0.8241
0.25,34.52374557,15.63074913,161,2025,5,4,24,1,0,0,0,0,0,1,0.3295,0.5164
11.7,30.23687965,15.63074913,164,2022,8,3,0,1,0,0,0,0,0,1,0.472,0.59265
0.1,34.52374557,15.63074913,110,2017,6,4,311,1,0,0,0,0,0,0,0.5896,0.7711
0.02,34.52374557,15.63074913,106,2017,6,4,2156,0,0,0,1,0,0,1,0.2962,0.25
4.12,34.52374557,15.63074913,173,2019,12,4,31,1,0,0,0,0,0,1,0.43764,0.5698
2.1,34.52374557,9.48159046,110,2016,2,4,2089,0,1,0,0,0,0,0,0.5232,0.6249
0.4,30.23687965,15.63074913,135,2019,11,4,35,1,1,0,0,0,0,0,0.61,0.631
1.45,39.87847455,15.63074913,123,2019,9,4,2,1,0,0,0,0,0,0,0.34306,0.38331
2.1,34.52374557,15.63074913,112,2017,2,4,30,0,0,0,1,0,0,0,0,0
1.1,34.52374557,15.63074913,148,2022,6,4,25,1,0,1,0,0,0,1,0.44444,0.59868
0.4,34.52374557,15.63074913,139,2021,8,4,162,1,0,0,1,0,0,0,0.2997,0.4588
2.77,39.87847455,15.63074913,125,2017,9,4,38,1,0,0,0,0,0,0,0.492,0.65795
63.8,39.87847455,15.63074913,203,2023,12,4,0,0,0,1,1,0,0,0,0.38196,0.44377
0.19,34.52374557,15.63074913,108,2017,2,4,0,1,0,0,0,0,0,1,0.47486,0.51504
0.02,34.52374557,15.63074913,120,2017,11,4,22,1,0,0,0,0,0,0,0.5379,0.7357
10.7,34.52374557,15.63074913,158,2025,6,4,0,1,1,0,0,0,0,0,0.49344,0.64378
0.03,34.52374557,15.63074913,100,2025,3,4,7,1,0,0,0,1,0,0,0.4309,0.53265
149.1493,34.52374557,15.63074913,149,2016,4,4,15,0,0,1,0,0,1,0,0.2406,0
1.2,34.52374557,15.63074913,112,2023,10,4,0,0,0,1,0,0,0,1,0.37946,0.43977
1.1,34.52374557,15.63074913,107,2016,3,4,32,1,1,0,0,0,0,0,0.645,0.765
5.61,39.87847455,15.63074913,154,2017,6,4,33,0,0,1,0,1,0,0,0.37946,0.43977
0.46,34.52374557,15.63074913,131,2017,6,4,24,0,0,0,1,0,0,1,0.41076,0.52715
3.76,39.87847455,3.194084169,130,2018,3,4,0,0,0,0,1,0,0,1,0.46512,0.61842
0.006,34.52374557,15.63074913,122,2018,5,4,1267,1,0,0,0,0,0,0,0.5899,0.61215
0.05,34.52374557,15.63074913,119,2024,4,4,185,1,0,0,0,0,0,0,-0.1143,-0.296
6,30.23687965,15.63074913,138,2019,1,4,30,1,0,0,0,0,0,1,0.4831,0.59715
0.9,34.52374557,15.63074913,91,2018,7,4,28,0,0,0,0,0,0,1,0.4379,0.52895
0.25,34.52374557,15.63074913,125,2024,2,4,9,1,0,0,0,0,0,1,0.4799,0.771
29.78,34.52374557,15.63074913,161,2016,12,4,64,0,0,0,0,0,0,1,0.3813,0.44105
22,100,25.95144992,156,2025,7,4,45,1,0,0,0,1,0,0,0.5909,0.7611
1.1,34.52374557,15.63074913,130,2017,11,4,0,0,0,0,0,1,0,0,0.5185,0.65867
0.03,34.52374557,15.63074913,0,2024,3,4,0,1,0,0,0,0,0,1,0.36594,0.47592
0.3,34.52374557,15.63074913,100,2023,11,4,0,1,0,0,0,0,0,0,0.36594,0.47592
19.71,39.87847455,20.16725386,139,2025,5,3,4116,0,0,0,1,0,1,0,0.3607,0.42115
4.03,39.87847455,15.63074913,137,2025,3,4,709,0,0,1,1,0,0,0,0.703,0.77425
0.75,34.52374557,15.63074913,137,2017,11,4,0,1,1,0,0,0,0,0,0.44224,0.57607
1.1,53.59314855,15.63074913,147,2023,10,4,24,1,0,0,0,0,0,1,0.4413,0.6369
3,42.23639278,15.63074913,143,2023,2,4,33,1,1,0,0,0,0,0,0.2041,0.1351
2.5,34.52374557,15.63074913,133,2016,7,4,29,0,1,0,0,0,0,1,0.4598,0.64147
8.5,34.52374557,15.63074913,124,2022,5,4,0,1,0,0,0,0,0,1,0.5066,0.63857
1.5,53.59314855,15.63074913,135,2022,7,4,0,0,0,1,1,0,0,0,0.48612,0.65498
2.7,30.23687965,15.63074913,139,2018,10,4,34,1,0,0,1,0,1,1,0.58944,0.70547
31,58.78836239,29.96244531,161,2025,2,4,179,1,0,0,0,0,0,1,0.3411,0.4496
4.55,42.23639278,15.63074913,155,2024,10,4,30,1,0,1,0,0,0,0,0.37946,0.43977
0.1,34.52374557,15.63074913,117,2018,9,4,14,1,0,0,0,0,0,0,0.42136,0.52884
36,39.87847455,15.63074913,179,2023,6,4,257,1,0,0,0,0,0,1,0.2517,0.39135
15.73,39.87847455,15.63074913,159,2023,3,2,0,0,1,0,0,1,0,0,0.4825,0.65765
20.92,53.85106944,15.63074913,125,2021,8,3,16,0,0,1,1,0,0,0,0.4119,0.4019
2.5,67.43552812,15.63074913,155,2024,7,4,24,1,0,0,0,0,0,1,0.2499,0.44015
21.06,53.59314855,15.63074913,150,2019,3,3,28,1,0,1,0,0,0,1,0.4315,0.65885
0.03,34.52374557,15.63074913,108,2023,11,4,16,1,0,0,0,0,0,1,0.4832,0.5994
0.22,34.52374557,15.63074913,95,2016,5,4,0,1,0,0,0,0,0,0,0.45768,0.54778
4.25,34.52374557,15.63074913,115,2018,4,4,0,1,0,0,0,1,0,0,0.47308,0.62802
1.46,34.52374557,15.63074913,131,2025,7,4,192,1,0,0,0,0,0,1,0.2234,0
3.3,50.08554175,15.63074913,120,2019,2,4,1022,1,0,0,0,1,0,0,0.4204,0.4767
0.1,34.52374557,15.63074913,126,2017,10,4,23,1,0,0,0,0,0,0,0.37946,0.43977
0.5,34.52374557,0.964032676,166,2025,3,4,17,0,0,0,1,0,0,1,0.3223,0.39185
0.15,34.52374557,15.63074913,123,2017,1,4,0,0,1,0,0,0,0,0,0.50662,0.62984
1,40.56749372,15.63074913,0,2023,7,4,8,1,0,0,0,0,1,0,0.3116,0.46715
119.1193,34.52374557,15.63074913,119,2018,9,4,0,1,1,0,0,0,0,0,0.45598,0.62105
0.05,39.87847455,15.63074913,133,2021,3,4,0,0,0,0,0,0,0,1,0.43392,0.47673
0.03,34.52374557,15.63074913,143,2017,12,4,0,0,0,0,1,0,0,1,0.5227,0.67472
2,53.59314855,15.63074913,148,2025,1,4,11,1,0,0,0,0,0,1,0.3344,0.6114
0.36,34.52374557,15.63074913,100,2018,3,4,30,1,0,0,1,1,0,1,0.4171,0.59265
3.35,39.87847455,9.349955476,162,2025,7,4,37,1,0,0,0,1,0,0,0.33582,0.55877
0.005,34.52374557,15.63074913,74,2022,12,4,45,1,0,1,0,0,0,0,0.7014,0.7783
3.52,34.52374557,0,102,2018,5,4,37,1,1,0,0,0,0,1,0.6237,0.717
0.02,34.52374557,15.63074913,102,2019,1,4,594,1,0,0,0,0,0,0,0.6495,0.7933
0.02,39.87847455,15.63074913,116,2017,4,4,45,1,0,0,0,0,0,1,0.5605,0.66645
0.6,34.52374557,15.63074913,139,2024,4,4,13,1,0,0,0,0,0,1,0.5737,0.7676
0.11,34.52374557,15.63074913,129,2023,1,4,10,1,0,1,0,0,0,0,0.4133,0.5915
0.1,42.23639278,15.63074913,141,2016,9,4,37,0,1,0,0,0,0,0,0.46136,0.57613
94.943,34.52374557,15.63074913,94,2018,10,4,143,1,1,0,0,0,0,0,0.41076,0.52715
0.2,34.52374557,15.63074913,122,2024,11,4,17,1,0,0,0,0,0,1,0.5705,0.6369
42.3,39.87847455,15.63074913,167,2019,6,2,44,1,0,0,0,0,0,1,0.4278,0.60335
15.25,67.43552812,9.48159046,144,2022,10,1,14,0,0,1,1,0,0,0,0.2672,0.5291
7.32,50.08554175,15.63074913,145,2019,9,4,33,1,1,0,0,0,0,0,0.463,0.57882
20.42,42.23639278,15.63074913,107,2017,2,1,0,0,0,0,1,0,0,0,0.48612,0.65498
