movie_title,total_potential_comments,mention_volume_sample,average_sentiment,median_upvotes
Antim:The Final Truth,8242,1000,0.061886899999999995,23.5
OMG 2,2579,1000,0.22707070000000001,7.0
Lipstick Under My Burkha,103,100,-0.04794599999999998,3.0
Manikarnika:The Queen of Jhansi,50,47,0.09461489361702126,3.0
Shamshera,43,42,0.06374047619047618,2.0
Dybbuk,253,256,0.20956953125,2.0
Sirf Ek Bandaa Kaafi Hai,120,118,0.12314576271186439,2.0
Ram Ki Janmabhoomi,55,54,0.16104629629629633,3.0
Union Leader,1021,1000,0.10489799999999999,3.0
Gadar 2,8,8,-0.054400000000000004,2.0
Jhund,54,54,0.03493518518518519,1.0
The Storyteller,32629,1000,0.011772800000000003,52.5
Sonchiriya,131,130,0.1526,2.0
Half Girlfriend,5982,1000,0.1319452,27.0
Looop Lapeta,23,23,0.06742608695652173,2.0
Thar,800,818,0.06764694376528117,2.0
Mantra,2464,1000,0.19390910000000003,5.0
The Legend of Michael Mishra,3238,1000,0.29790750000000005,6.0
Veere Di Wedding,2841,1000,0.17568170000000002,7.0
Romeo-N-Bullet,2,2,-0.08895,1.0
Traffic,14424,1000,0.1319422,46.5
Tara Vs Bilal,300,298,0.16455436241610738,2.0
Aa Bhi Ja O Piya,1358,1000,0.1430539,2.0
Baby John,17368,1000,0.1691207,89.5
Fredrick,1026,1000,0.1867402,2.0
Aankhon Ki Gustaakhiyan,7,7,0.3454714285714286,5.0
Madam Chief Minister,2033,1000,0.1943306,4.0
Judwaa 2,14,14,0.31477857142857146,1.0
Laal Singh Chaddha,90,95,0.23038842105263155,3.0
A Death in the Gunj,1,2,0.39225,1.5
Flat 211,4,4,0.27425,1.5
Panipat,18,18,0.18934444444444443,3.0
Tere Bin Laden: Dead or Alive,9382,1000,0.08882489999999998,38.0
Section 375,25,25,0.058944,3.0
Mona Darling,717,512,0.17846171875,5.0
Major,77537,1000,0.11314279999999999,68.5
Simran,4,4,0.26505,3.0
Animal,75021,1000,0.2141645,48.0
Wedding Anniversary,5415,1000,0.1437411,22.0
Sitaare Zameen Par,157,145,0.34946827586206897,1.0
Inn Galiyon Mein,4,4,0.43852499999999994,2.5
Murari the Mad Gentleman,641,632,0.18488180379746838,2.0
Dobaara: See Your Evil,12166,1000,0.18747840000000002,16.0
Hate Story 4,110426,1000,0.0349304,420.5
Thackeray,451,461,0.1772,3.0
Hanuman vs Mahiravana,8,8,0.2925,0.5
Tera Kya Hoga Lovely,357,355,0.09309408450704226,5.0
Dangal,3767,1000,0.20909130000000004,5.0
Saiyaara,163,162,0.17361728395061732,4.0
Dil Jo Na Keh Saka,125,127,0.1681275590551181,2.0
Bengal 1947,38,37,0.2009513513513514,3.0
Three of Us,41902,1000,0.013406900000000005,86.5
Raid 2,5458,1000,0.1376638,3.0
The Diplomat,2904,1000,0.18467589999999998,11.0
12th Fail,4528,1000,0.16578430000000002,8.0
Great Grand Masti,31189,1000,0.09937880000000002,56.0
Mere Desh Ki Dharti,9,9,0.24461111111111108,1.0
Andhadhun,286,290,0.33993517241379306,2.0
Mr. & Mrs. Mahi,23169,1000,0.095568,169.5
Nikamma,7,7,-0.07031428571428573,2.0
Chhaava,238,240,0.18360875,5.0
Jigra,5,5,-0.02662000000000001,1.0
Adipurush,58,60,0.12407166666666666,2.0
Tu Jhoothi Main Makkaar,873,874,0.2653937070938215,2.0
Bell Bottom,1444,1000,0.22508609999999998,3.0
Operation Valentine,96,98,0.1684795918367347,5.0
Kesari,3,3,0.055733333333333336,-1.0
Dear Dad,4714,1000,-0.01565380000000002,15.0
October,26180,1000,0.1493012,133.0
Bheed,2,2,-0.00045000000000000595,1.5
Ek Ladki Ko Dekha Toh Aisa Laga,123,121,0.12009256198347107,2.0
Tu Hai Mera Sunday,368,378,0.24865026455026457,2.0
Coffee with D,3304,1000,0.1691096,12.5
Merry Christmas,5144,1000,0.057675,9.0
Game Over,58548,1000,0.11681500000000002,62.0
Kedarnath,1,1,0.5859,1.0
Emergency,27127,1000,0.20134790000000005,245.5
3 Storeys,2357,490,0.03339489795918368,15.0
Metro... In Dino,7,6,0.50315,2.0
102 Not Out,6236,1000,0.20895590000000003,12.0
Commando 3,10037,1000,0.14731270000000002,15.0
Evening Shadows,10971,1000,0.15606319999999999,36.0
Noor,1930,1000,0.1940353,9.0
Lakadbaggha,13,13,0.2980615384615385,2.0
Baar Baar Dekho,134,133,0.06454135338345865,2.0
5 Weddings,13089,1000,0.22264430000000002,20.0
Mere Husband Ki Biwi,5965,1000,0.11995170000000001,58.0
I Want to Talk,38450,1000,0.005706300000000005,51.5
Bharat,609,625,0.1571016,6.0
Parched,146,133,0.3130496240601504,3.0
Pal Pal Dil Ke Paas,4946,1000,0.16928770000000004,12.0
Ram Setu,1,1,0.0,2.0
Chhichhore,63,65,0.22909692307692306,2.0
Main Atal Hoon,305,296,0.2892243243243243,3.0
Jersey,9458,1000,0.1698298,24.0
Mardaani 2,6,6,-0.19791666666666666,2.0
Kooki,7075,1000,0.2140615,20.0
Sky Force,11659,1000,0.1927375,28.0
Zero Se Restart,2267,976,0.20585829918032786,3.0
Luka Chuppi,120,118,0.12314576271186439,2.0
Sonu Ke Titu Ki Sweety,188,190,0.2055457894736842,3.0
Partition: 1947,280,287,-0.022346689895470385,2.0
Kaagaz 2,16,16,0.35077500000000006,2.5
Jia aur Jia,3030,1000,0.14048829999999998,23.0
Azhar,29,26,0.15721538461538462,2.0
Yamla Pagla Deewana: Phir Se,1,1,0.3818,1.0
Neerja,28,29,0.2930655172413794,2.0
Housefull 4,46,46,0.013071739130434771,3.0
Double XL,2017,943,0.014808589607635208,7.0
Mercury,8017,1000,0.1562347,24.0
Freaky Ali,560,467,0.28631541755888656,2.0
Ground Zero,9982,1000,0.0445964,58.0
Jahangir National University,5581,1000,0.1664389,17.0
Dongri Ka Raja,1,1,0.0,1.0
Chicken Curry Law,1372,980,0.2011091836734694,3.0
Heropanti 2,6,6,0.18330000000000002,2.0
Siya,1380,492,-0.031713414634146335,15.0
Vikram Vedha,349,353,0.5591594900849858,3.0
Jewel Thief,969,989,0.19849807886754298,2.0
Mission Grey House,14457,1000,0.11763,34.0
