Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min)
Antim:The Final Truth,2021,Hindi,5.03,"Salman Khan Films, Zee Studios",26-11-2021,"Action, Crime",Mahesh Manjrekar,140
OMG 2,2023,Hindi,10.26,"Cape of Good Films, Wakaoo Films, Viacom18 Studio",11-08-2023,"Comedy, Drama",Amit Rai,156
Lipstick Under My Burkha,2017,Hindi,1.22,"Prakash Jha Productions, ALT Entertainment",21-07-2017,Drama,Alankrita Shrivastava,119
Manikarnika:The Queen of Jhansi,2019,Hindi,8.75,"Kairos Kontent Studios, Zee Studios, Manikarnika Films",25-01-2019,"Epic, Historical, Drama","Radha Krishna Jagarlamudi,Kangana Ranaut",150
Shamshera,2022,Hindi,10.25,Yash Raj Films,22-07-2022,"Action, Drama",Karan Malhotra,158
Anaarkali of Aarah,2017,Hindi,0.1,Promodome Films,24-03-2017,Drama,Avinash Das,113
The Sabarmati Report,2024,Hindi,1.3,"Balaji Telefilms Ltd, Vikir Films Production",15-11-2024,"Crime, Drama",Dheeraj Sarna,123
Oye Bhootni Ke,2025,Hindi,0.001,"E Entertainment, Sahatayam Films, Shalimar Productions",25-04-2025,"Horror, Comedy",Ajay Kailash Yadav,149
Babumoshai Bandookbaaz,2017,Hindi,2.05,"Movies by the Mob, Gothic Entertainment",25-08-2017,"Action, Drama",Kushan Nandy,122
Sirf Ek Bandaa Kaafi Hai,2023,Hindi,0.01,"Zee Studios, Bhanushali Studios Limited",02-06-2023,"Crime, Thriller",Apoorv Singh Karki,127
Azaad,2025,Hindi,1.4,"Guy In The Sky Pictures, RSVP",17-01-2025,"Action, Drama","Abhishek Kapoor, Chandan Arora",147
Main Ladega,2024,Hindi,0.2,Kathakaar Films,26-04-2024,"Sports, Drama",Gaurav Rana,148
Ishq Forever,2016,Hindi,0.28,Friday Cine Entertainment,19-02-2016,"Drama, Romance",Sameer Sippy,125
72 Hoorain,2023,Hindi,1.25,"Saarthie Entertainment, Aliens Pictures Production",07-07-2023,"Crime, Drama",Sanjay Puran Singh Chauhan,120
Pagalpanti,2019,Hindi,4.75,"Panorama Studios, T-Series Super Cassettes Industries Ltd.",22-11-2019,"Comedy, Drama",Anees Bazmee,165
Marjaavaan,2019,Hindi,7.03,"T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd",15-11-2019,"Action, Drama, Romance",Milap Zaveri,136
Union Leader,2018,Hindi,0.07,Dim Light Pictures,19-01-2018,"Drama, Social",Sanjay Patel,105
Gadar 2,2023,Hindi,40.1,"M M Movies, Zee Studios, Anil Sharma Productions",11-08-2023,"Action, Patriotic",Anil Sharma,170
Sonchiriya,2019,Hindi,1.2,"Macguffin Pictures, RSVP",01-03-2019,Drama,Abhishek Chaubey,145
Half Girlfriend,2017,Hindi,10.27,Balaji Motion Pictures,19-05-2017,Romance,Mohit Suri,135
Mantra,2017,Hindi,0.06,"Filmart Productions, North East Films, Shri Production, Zenyth Media House",17-03-2017,Drama,Nicholas Kharkongor,90
The Legend of Michael Mishra,2016,Hindi,0.1,Eye Candy Films,05-08-2016,Comedy,Manish Jha,124
Behen Hogi Teri,2017,Hindi,0.32,Oddball Motion Pictures,09-06-2017,Comedy,Ajay K Pannalal,128
Wajah Tum Ho,2016,Hindi,2.86,T-Series Super Cassettes Industries Ltd.,16-12-2016,Drama,Vishal Pandya,136
Irada,2017,Hindi,0.12,Irada Entertainment,17-02-2017,Drama,"Aparna Singh, Nishant Tripathi",110
Mirza Juuliet,2017,Hindi,0.1,"Shemaroo Entertainment, Green Apple Media, Falansha Media PVT Limited",07-04-2017,Drama,Rajesh Ram Singh,125
Darran Chhoo,2023,Hindi,0.03,Mark Movies,13-10-2023,"Comedy, Drama",Bharat Ratan,0
Binny And Family,2024,Hindi,0.25,"Balaji Telefilms Ltd, Waveband Production, Mahaveer Jain Films",27-09-2024,"Family, Drama",Ssanjay Tripaathy,139
Veere Di Wedding,2018,Hindi,10.7,"Anil Kapoor Films Company, Balaji Telefilms Ltd",01-06-2018,"Drama, Comedy",Shashanka Ghosh,125
Satyameva Jayate,2018,Hindi,20.52,"T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd",15-08-2018,"Action, Patriotic",Milap Zaveri,141
Kaabil,2017,Hindi,10.43,Filmkraft Productions,25-01-2017,Drama,Sanjay Gupta,139
Romeo-N-Bullet,2017,Hindi,0.3,"Jay Shree Ram Creations, Cine Movie Studio",14-04-2017,"Action, Romance",Aditya Kumar,116
Arjun Patiala,2019,Hindi,1.25,"Maddock Films, Bake My Cake Film Production",26-07-2019,"Comedy, Action, Drama",Rohit Jugraj,106
Mannu Kya Karegga,2025,Hindi,0.5,Curious Eyes Cinema,12-09-2025,"Romance, Comedy",Ssanjay Tripaathy,141
Traffic,2016,Hindi,0.4,"Fox Star Studios, Eyedentity Motion Pictures, Endemol Shine India Production",29-04-2016,"Thriller, Drama",Rajesh Pillai,104
