Day1_collection_cr,Production_House_Score,Director_Score,Runtime (min),Release_Year,Release_Month,Release_Day_of_Week,Promotion_Duration_Days,Genre_Drama,Genre_Comedy,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Crime,Genre_Other,avg_sentiment,median_sentiment,viewCount,likeCount,commentCount
5.03,53.59314854511398,15.630749131525878,140.0,2021.0,11.0,4.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5578,0.736,53245648.0,578611.0,8961.0
10.26,67.43552811607532,15.630749131525878,156.0,2023.0,8.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.436,0.6309,51588258.0,689532.0,36965.0
1.22,34.523745571560404,15.630749131525878,119.0,2017.0,7.0,4.0,280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4617,0.69195,11617106.0,42483.0,2606.0
8.75,53.59314854511398,15.630749131525878,150.0,2019.0,1.0,4.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5617,0.74565,34539546.0,917320.0,57075.0
10.25,100.0,15.630749131525878,158.0,2022.0,7.0,4.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2448,0.39135,108941735.0,1178795.0,49240.0
0.1,34.523745571560404,15.630749131525878,113.0,2017.0,3.0,4.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511,0.6249,2387367.0,4399.0,173.0
1.3,34.523745571560404,15.630749131525878,123.0,2024.0,11.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.503,0.74905,23374108.0,236325.0,6267.0
0.001,34.523745571560404,15.630749131525878,149.0,2025.0,4.0,4.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5313,0.7213,15056580.0,292603.0,57580.0
2.05,34.523745571560404,15.630749131525878,122.0,2017.0,8.0,4.0,45.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4433,0.56465,15607443.0,107952.0,2375.0
0.01,53.59314854511398,15.630749131525878,127.0,2023.0,6.0,4.0,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.53566,0.6691900000000001,28736934.0,71117.0,4386.0
1.4,34.523745571560404,15.630749131525878,147.0,2025.0,1.0,4.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5524,0.69665,20309013.0,148874.0,3389.0
0.2,34.523745571560404,15.630749131525878,148.0,2024.0,4.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2578,0.3435,8922992.0,72396.0,17462.0
1.25,34.523745571560404,15.630749131525878,120.0,2023.0,7.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4378,0.5352,10156409.0,130540.0,15519.0
4.75,39.87847455489328,27.759495141120446,165.0,2019.0,11.0,4.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6456,0.73495,39218135.0,573549.0,17416.0
7.03,39.87847455489328,15.630749131525878,136.0,2019.0,11.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.54148,0.6974,488863076.0,3564463.0,87965.0
0.07,34.523745571560404,15.630749131525878,105.0,2018.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5185000000000001,0.6586700000000001,7650297.0,79123.0,4046.0
40.1,53.59314854511398,15.630749131525878,170.0,2023.0,8.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3882,0.6697,67903840.0,1136355.0,80979.0
1.2,34.523745571560404,15.630749131525878,145.0,2019.0,3.0,4.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36594000000000004,0.47592,21773768.0,242379.0,7671.0
10.27,34.523745571560404,25.951449920631845,135.0,2017.0,5.0,4.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5336,0.6647,41679702.0,304256.0,16025.0
0.06,34.523745571560404,15.630749131525878,90.0,2017.0,3.0,4.0,674.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5994,0.5994,121569.0,391.0,4.0
0.1,34.523745571560404,15.630749131525878,124.0,2016.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45861999999999997,0.62111,9370748.0,81473.0,2242.0
0.32,34.523745571560404,15.630749131525878,128.0,2017.0,6.0,4.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5984,0.77145,20570249.0,167169.0,3118.0
2.86,39.87847455489328,3.1940841689573727,136.0,2016.0,12.0,4.0,367.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4594,0.6249,569007444.0,2403382.0,44067.0
