Title,trailer_title,channel_name,video_id,published_at,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment
Antim:The Final Truth,TxPRydAcsEs,"Hone Laga - ANTIM: The Final Truth | Aayush Sharma, Mahima Makwana | Jubin Nautiyal, Ravi B, Shabbir",Zee Music Company,2021-11-09T06:30:04Z,53245648,578611,8961,50,0.5578,0.736
Mission Majnu,Gw77Nx4eBMc,"Mission Majnu | Sidharth Malhotra, Rashmika Mandanna | Official Trailer | Netflix India",Netflix India,2023-01-09T11:06:53Z,40073917,237471,13839,50,0.4352,0.5789
OMG 2,Y6ZKXqM7HNQ,"OMG2 - Official Trailer | Akshay Kumar, Pankaj Tripathi, Yami Gautam | Amit Rai | In Theatres Aug 11",Viacom18 Studios,2023-08-03T05:31:25Z,51588258,689532,36965,50,0.436,0.6309
Lipstick Under My Burkha,EpHqeHF8NM0,"LIPSTICK UNDER MY BURKHA | Official Trailer | Releasing 21 July | Konkona Sensharma, Ratna Pathak",Prakash Jha Productions,2016-10-14T08:01:07Z,11617106,42483,2606,50,0.4617,0.69195
Manikarnika:The Queen of Jhansi,tKmkMVaNu9g,Manikarnika - The Queen Of Jhansi - Official Trailer - Kangana Ranaut - Zee Studio,Zee Studios,2018-12-18T08:19:01Z,34539546,917320,57075,50,0.5617,0.74565
Shamshera,UHYUeZ8JszQ,Shamshera Official Trailer | Ranbir Kapoor | Sanjay Dutt | Vaani Kapoor | Karan Malhotra,YRF,2022-06-24T06:50:32Z,108941735,1178795,49240,50,0.2448,0.39135
Anaarkali of Aarah,jHFT_PdLh20,"Anaarkali of Aarah - Official Trailer | Swara Bhaskar, Sanjay Mishra, Pankaj Tripathi, Sandiip Kapur",Promodome Motion Pictures,2017-02-23T12:27:31Z,2387367,4399,173,50,0.5511,0.6249
The Sabarmati Report,Mjtv0KkgCqM,"The Sabarmati Report | Official Trailer | Vikrant M, Raashii K, Ridhi D | Ektaa K | InCinemas Nov 15",balajimotionpictures,2024-11-06T15:57:02Z,23374108,236325,6267,50,0.503,0.74905
Barot House,Bz7XlZ23zcE,Barot House | Official Trailer | A ZEE5 Original | Streaming Now On ZEE5,ZEE5,2019-07-23T07:36:49Z,2941533,13587,422,0,,
Oye Bhootni Ke,L8Wfzxch7Xo,"The Bhootnii (Official Trailer) | Sanjay D, Mouni R, Sunny S, Palak | Sidhaant S | Deepak M |1st May",Soham Rockstar Entertainment,2025-03-29T08:09:30Z,15056580,292603,57580,50,0.5313,0.7213
Babumoshai Bandookbaaz,8Bakp3UKa3c,Babumoshai Bandookbaaz | Official Trailer | Nawazuddin Siddiqui | Bidita Bag,Saregama Music,2017-07-11T08:48:45Z,15607443,107952,2375,50,0.4433,0.56465
Dybbuk,nD82ZhhZF_8,"Dybbuk - Official Trailer | Emraan Hashmi, Nikita Dutta, Manav Kaul | New Horror Movie 2021 | Oct 29",Prime Video India,2021-10-20T14:00:42Z,9611535,233400,9356,50,0.4684,0.64195
Sirf Ek Bandaa Kaafi Hai,MWH7lfZdP-8,Sirf Ek Bandaa Kaafi Hai | Official Trailer | Manoj B | A ZEE5 Original Film | Watch Now on ZEE5,ZEE5,2023-05-08T07:31:21Z,28736934,71117,4386,0,,
Azaad,WvUijIdiq5U,"Azaad Official Trailer | Ajay D, Abhishek K, Ronnie S, Pragya K, Diana P, Aaman D, Rasha T | 17 Jan",RSVP Movies,2025-01-06T07:30:40Z,20309013,148874,3389,50,0.5524,0.69665
Ram Ki Janmabhoomi,iCzhNJZDv6k,"Official Trailer: Ram Ki Janmabhoomi Latest Hindi Film | Rajveer Singh, Najneen Patni, Govind Namdeo",Pop Chartbusters,2019-03-15T10:30:04Z,1264308,11450,1749,43,0.091,0
Main Ladega,1FmLRrApI7Y,MAIN LADEGA - Official Trailer | Akash Pratap Singh | Kathakaar Films | IN CINEMAS 26TH APRIL,Saregama Music,2024-04-15T09:00:03Z,8922992,72396,17462,50,0.2578,0.3435
72 Hoorain,5gH3NG2VIug,72 HOORAIN Official Trailer,Bollywood Hungama,2023-06-28T05:41:19Z,10156409,130540,15519,50,0.4378,0.5352
Pagalpanti,3-7jehmURuM,"Pagalpanti Trailer - Anil, John, Ileana, Arshad, Urvashi, Pulkit, Kriti | Anees | Releasing 22 Nov",T-Series,2019-10-22T08:23:52Z,39218135,573549,17416,50,0.6456,0.73495
Marjaavaan,RemShT6JAHw,"Tum Hi Aana Full Video | Marjaavaan | Riteish D, Sidharth M, Tara S | Jubin N | Payal Dev Kunaal V",T-Series,2019-11-24T07:36:05Z,488863076,3564463,87965,0,,
Union Leader,vea9SdnRMyg,The Union | Mark Wahlberg + Halle Berry | Official Trailer | Netflix,Netflix,2024-06-26T15:30:01Z,7650297,79123,4046,0,,
Gadar 2,mljj92tRwlk,#Gadar2 Official Trailer | 11th August | Sunny Deol | Ameesha Patel | Anil Sharma,Zee Studios,2023-07-26T14:00:13Z,67903840,1136355,80979,50,0.3882,0.6697
Teraa Surroor,E1a981dTcRc,"TERAA SURROOR OFFICIAL TRAILER | Himesh Reshammiya, Farah Karimaee, Naseeruddin Shah | T-Series",T-Series,2016-01-28T07:12:06Z,9008457,30088,3464,50,0.5457,0.67005
Chhorii 2,d4VVkwTw3x4,Chhorii 2 - Official Trailer | Prime Video India,Prime Video India,2025-04-03T04:30:30Z,22338675,38899,1126,50,0.5291,0.6369
Jatadhara,PX-Sir6GiFc,JATADHARA Official Hindi Trailer | Sudheer Babu | Sonakshi Sinha | Prerna Arora | In Cinemas 7 Nov,Zee Studios,2025-10-17T10:40:04Z,20144091,40473,2164,0,,
Jhund,iqydRuNr2yY,"Jhund (Trailer) Amitabh Bachchan | Nagraj Popatrao Manjule | Ajay-Atul | Sandeep S, Bhushan Kumar",T-Series,2022-02-23T09:45:20Z,18986347,326790,7903,50,0.5941,0.7947
Meri Nimmo,cZVjD9UJOSE,Meri Nimmo Hindi Full Movie - Anjali Patil - Karan Dave - Aryan Mishra - Popular Hindi Movie,Shemaroo Movies,2022-10-29T08:30:07Z,2907920,30474,1664,0,,
The Storyteller,BUP-qJshJ78,WATCH: The Storyteller Trailer - Busan Film Festival 2022 | Jio Studios,JioStudios,2022-10-03T06:55:59Z,196475,1633,102,50,0.4326,0.50225
Sonchiriya,aejAkKGiimk,"Sonchiriya | Official Trailer | Sushant, Bhumi P,  Manoj B, Ranvir S | Abhishek C | 1st March 2019",RSVP Movies,2019-01-07T04:30:13Z,21773768,242379,7671,0,,
Half Girlfriend,KmlBnmyelHI,Half Girlfriend Official Trailer | Arjun Kapoor | Shraddha Kapoor | 19th May 2017,balajimotionpictures,2017-04-10T06:25:29Z,41679702,304256,16025,50,0.5336,0.6647
Looop Lapeta,bRN5m0sBJy8,"Looop Lapeta | Official Trailer | Taapsee Pannu, Tahir Raj Bhasin | Netflix India",Netflix India,2022-01-13T06:00:00Z,12896657,108551,3865,50,0.4537,0.5789
Thar,8SdUGQkJYEs,"Thar | Official Trailer | Anil Kapoor, Harshvarrdhan Kapoor, Fatima Sana Shaikh | Netflix India",Netflix India,2022-04-18T07:25:31Z,21674920,123333,2252,50,0.3256,0.42015
Mantra,mj0m6h-C2ZE,MANTRA - 2 Movie : Theatrical Trailer : Charmy Kaur,Tollywood,2015-05-13T10:07:58Z,121569,391,4,1,0.5994,0.5994
The Legend of Michael Mishra,QLNtI8xZB_Y,द लेजेंड ऑफ़ माइकल मिश्रा Iफुल मूवी [एचडी] अरशद वारसीIअदिति राव हैदरी | The Legend Of Michael Mishra,CineBox Pictures,2018-12-20T06:27:47Z,9370748,81473,2242,0,,
Behen Hogi Teri,7MLW3UvYAJs,Behen Hogi Teri - Official Trailer | Rajkummar Rao | Shruti Haasan | Gautam Gulati,ODDBALL Motion Pictures,2017-05-01T12:11:55Z,20570249,167169,3118,50,0.5984,0.77145
Wajah Tum Ho,__ZvXBf1rmw,"WAJAH TUM HO Full Video Song | HATE STORY 3 Songs | Zareen Khan, Karan Singh Grover | T-Series",T-Series,2015-12-15T12:00:02Z,569007444,2403382,44067,9,0.4594,0.6249
Bawaal,NyeG2mLVCS4,"Bawaal - Official Trailer | Varun Dhawan, Janhvi Kapoor | Prime Video India",Prime Video India,2023-07-09T10:49:52Z,44196467,166150,5719,50,0.5385,0.7807
Irada,5QPQE_gIW24,Irada  Official Trailer 2017 Naseeruddin Shah &  Arshad Warsi  Movie,Red Eye Entertainment,2017-01-24T20:35:15Z,830,12,0,0,,
Mirza Juuliet,uuo-QB3C_3Q,Mirza Juliet | Full Hindi Movie | Pia Bajpai | Priyanshu Chatterjee,Shemaroo,2022-03-31T10:30:10Z,1040898,7360,398,0,,
Darran Chhoo,9E_6dLoXpm8,DarranChhoo - Title Track | Karan Patel | Nakash Aziz | Amjad Nadeem Aamir,Zee Music Company,2023-09-26T10:00:16Z,2546783,1487,138,50,0.7134,0.8402
Hum Bhi Akele Tum Bhi Akele,plgJ4JOj0-0,"Hum Bhi Akele, Tum Bhi Akele: Official Trailer I Anshuman Jha, Zareen Khan I Harish Vyas I May 9th",DisneyPlus Hotstar_IN,2021-05-03T10:30:06Z,1488344,20305,712,50,0.6886,0.8289
Binny And Family,IchtdYQk2ps,"Binny And Family | Official Trailer | Pankaj Kapur, Anjini Dhawan, Rajesh K | 27th September",T-Series,2024-09-19T07:32:49Z,1253274,7312,739,27,0.3533,0.4019
Veere Di Wedding,IZODr96ZRCc,"Veere Di Wedding Trailer | Kareena Kapoor Khan, Sonam Kapoor, Swara Bhasker, Shikha Talsania| June 1",balajimotionpictures,2018-04-25T09:30:06Z,43514762,338572,19775,0,,
Satyameva Jayate,odXKXLG43co,Official Trailer: Satyameva Jayate | John Abraham | Manoj Bajpayee | Aisha S | Milap Milan Zaveri,T-Series,2018-06-28T07:32:06Z,56213044,585693,34608,50,0.5024,0.61215
