Title,Year,Language,Day1_collection_cr,Production Company,Genre,Director,Runtime (min),trailer_title,channel_name,video_id,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment,Production_House_Score_Raw,Production_House_Score,Director_Score_Raw,Director_Score,Genre_Drama,Genre_Comedy,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Crime,Genre_Other,Release_Year,Release_Month,Release_Day_of_Week,Promotion_Duration_Days
Antim:The Final Truth,2021,Hindi,5.03,"Salman Khan Films, Zee Studios","Action, Crime",Mahesh Manjrekar,140,TxPRydAcsEs,"Hone Laga - ANTIM: The Final Truth | Aayush Sharma, Mahima Makwana | Jubin Nautiyal, Ravi B, Shabbir",Zee Music Company,53245648,578611,8961,50,0.5578,0.736,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,0,0,1,0,0,1,0,2021,11,4,17
OMG 2,2023,Hindi,10.26,"Cape of Good Films, Wakaoo Films, Viacom18 Studio","Comedy, Drama",Amit Rai,156,Y6ZKXqM7HNQ,"OMG2 - Official Trailer | Akshay Kumar, Pankaj Tripathi, Yami Gautam | Amit Rai | In Theatres Aug 11",Viacom18 Studios,51588258,689532,36965,50,0.436,0.6309,13.757777777777777,67.43552811607532,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2023,8,4,8
Lipstick Under My Burkha,2017,Hindi,1.22,"Prakash Jha Productions, ALT Entertainment",Drama,Alankrita Shrivastava,119,EpHqeHF8NM0,"LIPSTICK UNDER MY BURKHA | Official Trailer | Releasing 21 July | Konkona Sensharma, Ratna Pathak",Prakash Jha Productions,11617106,42483,2606,50,0.4617,0.69195,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2017,7,4,280
Manikarnika:The Queen of Jhansi,2019,Hindi,8.75,"Kairos Kontent Studios, Zee Studios, Manikarnika Films","Epic, Historical, Drama","Radha Krishna Jagarlamudi,Kangana Ranaut",150,tKmkMVaNu9g,Manikarnika - The Queen Of Jhansi - Official Trailer - Kangana Ranaut - Zee Studio,Zee Studios,34539546,917320,57075,50,0.5617,0.74565,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2019,1,4,38
Shamshera,2022,Hindi,10.25,Yash Raj Films,"Action, Drama",Karan Malhotra,158,UHYUeZ8JszQ,Shamshera Official Trailer | Ranbir Kapoor | Sanjay Dutt | Vaani Kapoor | Karan Malhotra,YRF,108941735,1178795,49240,50,0.2448,0.39135,19.490714285714287,100.0,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2022,7,4,28
Anaarkali of Aarah,2017,Hindi,0.1,Promodome Films,Drama,Avinash Das,113,jHFT_PdLh20,"Anaarkali of Aarah - Official Trailer | Swara Bhaskar, Sanjay Mishra, Pankaj Tripathi, Sandiip Kapur",Promodome Motion Pictures,2387367,4399,173,50,0.5511,0.6249,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2017,3,4,29
The Sabarmati Report,2024,Hindi,1.3,"Balaji Telefilms Ltd, Vikir Films Production","Crime, Drama",Dheeraj Sarna,123,Mjtv0KkgCqM,"The Sabarmati Report | Official Trailer | Vikrant M, Raashii K, Ridhi D | Ektaa K | InCinemas Nov 15",balajimotionpictures,23374108,236325,6267,50,0.503,0.74905,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,1,0,2024,11,4,9
Oye Bhootni Ke,2025,Hindi,0.001,"E Entertainment, Sahatayam Films, Shalimar Productions","Horror, Comedy",Ajay Kailash Yadav,149,L8Wfzxch7Xo,"The Bhootnii (Official Trailer) | Sanjay D, Mouni R, Sunny S, Palak | Sidhaant S | Deepak M |1st May",Soham Rockstar Entertainment,15056580,292603,57580,50,0.5313,0.7213,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,1,0,0,0,0,1,2025,4,4,27
Babumoshai Bandookbaaz,2017,Hindi,2.05,"Movies by the Mob, Gothic Entertainment","Action, Drama",Kushan Nandy,122,8Bakp3UKa3c,Babumoshai Bandookbaaz | Official Trailer | Nawazuddin Siddiqui | Bidita Bag,Saregama Music,15607443,107952,2375,50,0.4433,0.56465,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2017,8,4,45
Sirf Ek Bandaa Kaafi Hai,2023,Hindi,0.01,"Zee Studios, Bhanushali Studios Limited","Crime, Thriller",Apoorv Singh Karki,127,MWH7lfZdP-8,Sirf Ek Bandaa Kaafi Hai | Official Trailer | Manoj B | A ZEE5 Original Film | Watch Now on ZEE5,ZEE5,28736934,71117,4386,0,,,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,0,0,0,1,0,1,0,2023,6,4,25
