Title,Year,Language,Day1_collection_cr
Antim:The Final Truth,2021,Hindi,5.03
Mission Majnu,2023,Hindi,NAN
OMG 2,2023,Hindi,10.26
Lipstick Under My Burkha,2017,Hindi,1.22
Manikarnika:The Queen of Jhansi,2019,Hindi,8.75
Shamshera,2022,Hindi,10.25
Anaarkali of Aarah,2017,Hindi,0.1
The Sabarmati Report,2024,Hindi,1.3
Barot House,2019,Hindi,NAN
Oye Bhootni Ke,2025,Hindi,0.001
Babumoshai Bandookbaaz,2017,Hindi,2.05
Dybbuk,2021,Hindi,NAN
Sirf Ek Bandaa Kaafi Hai,2023,Hindi,0.01
Azaad,2025,Hindi,1.4
Ram Ki Janmabhoomi,2019,Hindi,NAN
Main Ladega,2024,Hindi,0.2
Ishq Forever,2016,Hindi,0.28
72 Hoorain,2023,Hindi,1.25
Pagalpanti,2019,Hindi,4.75
Marjaavaan,2019,Hindi,7.03
Union Leader,2018,Hindi,0.07
Gadar 2,2023,Hindi,40.1
Teraa Surroor,2016,Hindi,1.79
Chhorii 2,2025,Hindi,Not Released
Jatadhara,2025,Hindi,NAN
Jhund,2022,Hindi,1.38
Meri Nimmo,2018,Hindi,NAN
The Storyteller,2025,Hindi,NAN
Sonchiriya,2019,Hindi,1.2
Half Girlfriend,2017,Hindi,10.27
Looop Lapeta,2022,Hindi,NAN
Thar,2022,Hindi,NAN
Mantra,2017,Hindi,0.06
The Legend of Michael Mishra,2016,Hindi,0.01
Behen Hogi Teri,2017,Hindi,0.32
Wajah Tum Ho,2016,Hindi,2.86
Bawaal,2023,Hindi,NAN
Irada,2017,Hindi,0.12
Mirza Juuliet,2017,Hindi,0.6
Darran Chhoo,2023,Hindi,0.03
Hum Bhi Akele Tum Bhi Akele,2021,Hindi,NAN
Binny And Family,2024,Hindi,0.25
Veere Di Wedding,2018,Hindi,10.7
Satyameva Jayate,2018,Hindi,19.5
Sangee,2025,Hindi,0.03
Kaabil,2017,Hindi,10.43
Romeo-N-Bullet,2017,Hindi,0.001
Arjun Patiala,2019,Hindi,1.25
Mannu Kya Karegga,2025,Hindi,0.4
Traffic,2016,Hindi,0.4
Tara Vs Bilal,2022,Hindi,0.02
Aa Bhi Ja O Piya,2021,Hindi,0.01
Baby John,2024,Hindi,11.25
Fredrick,2016,Hindi,0.12
Aankhon Ki Gustaakhiyan,2025,Hindi,0.4
Happy Bhag Jayegi,2016,Hindi,2.32
Madam Chief Minister,2021,Hindi,0.05
Bioscopewala,2018,Hindi,0.25
Judwaa 2,2017,Hindi,16.1
Kesari Veer,2025,Hindi,0.1
Laal Singh Chaddha,2022,Hindi,11.7
A Death in the Gunj,2017,Hindi,0.5
Flat 211,2017,Hindi,0.02
Panipat,2019,Hindi,4.12
Tere Bin Laden: Dead or Alive,2016,Hindi,0.54
Motichoor Chaknachoor,2019,Hindi,0.3
Section 375,2019,Hindi,1.45
Mona Darling,2017,Hindi,0.11
Sallu Ki Shaadi,2017,Hindi,0.51
Major,2022,Hindi,1.1
Phillauri,2017,Hindi,4.02
Chehre,2021,Hindi,0.4
Simran,2017,Hindi,2.77
Animal,2023,Hindi,63.8
Wedding Anniversary,2017,Hindi,0.19
Panchlait,2017,Hindi,0.02
Sitaare Zameen Par,2025,Hindi,10.7
Inn Galiyon Mein,2025,Hindi,0.07
Laal Rang,2016,Hindi,0.25
Tejas,2023,Hindi,1.2
Murari the Mad Gentleman,2016,Hindi,0.02
Raabta,2017,Hindi,5.61
Dobaara: See Your Evil,2017,Hindi,0.46
Hate Story 4,2018,Hindi,3.76
Falooda,2018,Hindi,0.006
The Legacy of Jineshwar,2024,Hindi,0.05
Thackeray,2019,Hindi,2.75
Hanuman vs Mahiravana,2018,Hindi,0.71
Kuch Khattaa Ho Jaay,2024,Hindi,0.3
Tera Kya Hoga Lovely,2024,Hindi,0.1
Dangal,2016,Hindi,29.78
Saiyaara,2025,Hindi,22
Dil Jo Na Keh Saka,2017,Hindi,0.1
Bengal 1947,2024,Hindi,0.03
Three of Us,2023,Hindi,0.3
Raid 2,2025,Hindi,19.71
The Diplomat,2025,Hindi,4.03
Shaadi Mein Zaroor Aana,2017,Hindi,0.75
12th Fail,2023,Hindi,1.1
