Title,Year,Language,Day1_collection_cr,Banner,Release Date,Genre,Director,Runtime (min)
Antim:The Final Truth,2021,Hindi,5.03,,,,,
Mission Majnu,2023,Hindi,,RSVP,20-01-2023,"Action, Thriller",Shantanu Baagchi,
OMG 2,2023,Hindi,10.26,"Cape of Good Films, Wakaoo Films, Viacom18 Studio",11-08-2023,"Comedy, Drama",Amit Rai,156
Lipstick Under My Burkha,2017,Hindi,1.22,"Prakash Jha Productions, ALT Entertainment",21-07-2017,Drama,Alankrita Shrivastava,119
Manikarnika:The Queen of Jhansi,2019,Hindi,,,,,,
Shamshera,2022,Hindi,10.25,Yash Raj Films,22-07-2022,"Action, Drama",Karan Malhotra,158
Anaarkali of Aarah,2017,Hindi,,,,,,
The Sabarmati Report,2024,Hindi,1.3,"Balaji Telefilms Ltd, Vikir Films Production",15-11-2024,"Crime, Drama",Dheeraj Sarna,123
Barot House,2019,Hindi,,,,,,
Oye Bhootni Ke,2025,Hindi,0.001,,25-04-2025,"Horror, Comedy",Ajay Kailash Yadav,
Babumoshai Bandookbaaz,2017,Hindi,2.05,"Movies by the Mob, Gothic Entertainment",25-08-2017,"Action, Drama",Kushan Nandy,122
Dybbuk,2021,Hindi,,,,,,
Sirf Ek Bandaa Kaafi Hai,2023,Hindi,0.01,"Zee Studios, Bhanushali Studios Limited",02-06-2023,"Crime, Thriller",Apoorv Singh Karki,
Azaad,2025,Hindi,1.4,"Guy In The Sky Pictures, RSVP",17-01-2025,"Action, Drama","Abhishek Kapoor, Chandan Arora",147
Ram Ki Janmabhoomi,2019,Hindi,,,,,,
Main Ladega,2024,Hindi,0.2,Kathakaar Films,26-04-2024,"Sports, Drama",Gaurav Rana,
Ishq Forever,2016,Hindi,0.28,Friday Cine Entertainment,19-02-2016,"Drama, Romance",Sameer Sippy,125
72 Hoorain,2023,Hindi,1.25,"Saarthie Entertainment, Aliens Pictures Production",07-07-2023,"Crime, Drama",Sanjay Puran Singh Chauhan,
Pagalpanti,2019,Hindi,4.75,"Panorama Studios, T-Series Super Cassettes Industries Ltd.",22-11-2019,"Comedy, Drama",Anees Bazmee,165
Marjaavaan,2019,Hindi,7.03,"T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd",15-11-2019,"Action, Drama, Romance",Milap Zaveri,136
Union Leader,2018,Hindi,,Dim Light Pictures,19-01-2018,", Drama, Social",Sanjay Patel,
Gadar 2,2023,Hindi,40.1,"M M Movies, Zee Studios, Anil Sharma Productions",11-08-2023,"Action, Patriotic",Anil Sharma,170
Teraa Surroor,2016,Hindi,,"T-Series Super Cassettes Industries Ltd., HR Musik",11-03-2016,", Action, Romance",Shawn Arranha,106
Chhorii 2,2025,Hindi,,"T-Series Super Cassettes Industries Ltd., Abundantia Entertainment, Psych Production, Tamarisk Lane",11-04-2025,"Horror, Thriller",Vishal Furia,133
