Title,Year,Language
Antim:The Final Truth,2021,Hindi
Mission Majnu,2023,Hindi
OMG 2,2023,Hindi
Lipstick Under My Burkha,2017,Hindi
Manikarnika:The Queen of Jhansi,2019,Hindi
Shamshera,2022,Hindi
Anaarkali of Aarah,2017,Hindi
The Sabarmati Report,2024,Hindi
Barot House,2019,Hindi
Oye Bhootni Ke,2025,Hindi
Babumoshai Bandookbaaz,2017,Hindi
Dybbuk,2021,Hindi
Sirf Ek Bandaa Kaafi Hai,2023,Hindi
Chandigarh Kare Aashiqui,2021,Hindi
Azaad,2025,Hindi
Ram Ki Janmabhoomi,2019,Hindi
Main Ladega,2024,Hindi
Ishq Forever,2016,Hindi
72 Hoorain,2023,Hindi
Pagalpanti,2019,Hindi
Marjaavaan,2019,Hindi
Union Leader,2018,Hindi
Gadar 2,2023,Hindi
Teraa Surroor,2016,Hindi
Chhorii 2,2025,Hindi
Jatadhara,2025,Hindi
Jhund,2022,Hindi
Meri Nimmo,2018,Hindi
The Storyteller,2025,Hindi
Sonchiriya,2019,Hindi
Half Girlfriend,2017,Hindi
Looop Lapeta,2022,Hindi
Thar,2022,Hindi
Mantra,2017,Hindi
The Legend of Michael Mishra,2016,Hindi
Behen Hogi Teri,2017,Hindi
Wajah Tum Ho,2016,Hindi
Simmba,2018,Hindi
Bawaal,2023,Hindi
Irada,2017,Hindi
Mirza Juuliet,2017,Hindi
Darran Chhoo,2023,Hindi
Hum Bhi Akele Tum Bhi Akele,2021,Hindi
Binny And Family,2024,Hindi
Veere Di Wedding,2018,Hindi
Lost,2023,Hindi
The Signature,2024,Hindi
The Great Leader Kanshiram,2017,Hindi
Satyameva Jayate,2018,Hindi
Veerappan,2016,Hindi
Sangee,2025,Hindi
Kaabil,2017,Hindi
Romeo-N-Bullet,2017,Hindi
Arjun Patiala,2019,Hindi
Mannu Kya Karegga,2025,Hindi
Amavas,2019,Hindi
Traffic,2016,Hindi
Tara Vs Bilal,2022,Hindi
Aa Bhi Ja O Piya,2021,Hindi
Baby John,2024,Hindi
