Title,Year,Language,Genre,Production Company,Runtime (mins),Budget (INR),Director,Lead Cast,Release Date (India),MPAA Rating
Jannat,2008,Hindi,"Crime, Drama, Romance",Vishesh Films,140,,Kunal Deshmukh,"Emraan Hashmi, Sonal Chauhan, Javed Sheikh",16-05-2008,UA
Bunty Aur Babli,2005,Hindi,"Comedy, Crime, Romance",Yash Raj Films,170,,Shaad Ali,"Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan",27-05-2005,N/A
Jayantabhai Ki Luv Story,2013,Hindi,"Action, Comedy, Romance, Drama",Tips Industries,130,,Vinnil Markan,"Vivek Oberoi, Neha Sharma, Zakir Hussain",15-02-2013,UA
Minus 31: The Nagpur Files,2023,Hindi,"Mystery, Drama, Music, Thriller","orangepixel studios, Dragon Water Films, Darshani Entertainment",134,,Pratik Moitro,"Rucha Inamdar, Raghubir Yadav, Kaam bhaari",21-07-2023,A
Rukh,2017,Hindi,"Mystery, Drama","Drishyam Films, Eros International",106,,Atanu Mukherjee,"Manoj Bajpayee, Adarsh Gourav, Smita Tambe",27-10-2017,UA
Tera Intezaar,2017,Hindi,"Thriller, Romance",Bageshree Films,108,,Raajeev Walia,"Arbaaz Khan, Sunny Leone, Arya Babbar",01-12-2017,N/A
Chaarfutiya Chhokare,2014,Hindi,"Drama, Thriller",,119,,Manish Harishankar,"Soha Ali Khan, Zakir Hussain, Seema Biswas",26-09-2014,N/A
Satyaprem Ki Katha,2023,Hindi,"Drama, Romance","Nadiadwala Grandson Entertainment, Namah Pictures",146,,Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Gajraj Rao",29-06-2023,N/A
Thalaivii,2021,Hindi,Drama,"Karma Media and Entertainment, Vibri Media, Gothic Entertainment, Sprint Films, Zee Studios",153,,A. L. Vijay,"Kangana Ranaut, Arvind Swamy, Nassar",10-09-2021,U
"Good Boy, Bad Boy",2007,Hindi,"Comedy, Romance",Mukta Arts Ltd,115,"32,56,50,000",Ashwini Chaudhary,"Tusshar Kapoor, Emraan Hashmi, Isha Sharvani",11-05-2007,U
Heropanti,2014,Hindi,"Romance, Action",Nadiadwala Grandson Entertainment,146,"35,07,00,000",Sabbir Khan,"Tiger Shroff, Kriti Sanon, Prakash Raj",23-05-2014,UA
Veerey Ki Wedding,2018,Hindi,Comedy,,131,,Ashu Trikha,"Pulkit Samrat, Jimmy Shergill, Kriti Kharbanda",02-03-2018,N/A
The Killer,2006,Hindi,Drama,Vishesh Films,122,,Raksha Mistry,"Irrfan Khan, Emraan Hashmi, Priyanka Kothari",21-07-2006,A
Housefull 3,2016,Hindi,"Comedy, Romance",,140,"1,08,55,00,000",Farhad Samji,"Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh",03-06-2016,UA
Summer 2007,2008,Hindi,Drama,,166,,Sohail Tatari,"Yuvika Chaudhary, Arjan Bajwa, Gul Panag",13-06-2008,N/A
Hawaa Hawaai,2014,Hindi,"Drama, Family","Fox Star Studios, Amole Gupte Cinema",120,"12,19,10,000",Amole Gupte,"Makrand Deshpande, Partho A. Gupte, Neha Joshi",09-05-2014,U
Main Zaroor Aaunga,2019,Hindi,"Drama, Horror, Thriller",,100,,Chandrakant Singh,"Arbaaz Khan, Govind Namdeo, Hemant Pandey",27-09-2019,A
Sacred Evil â A True Story,2006,Hindi,"Drama, Horror","Sahara One Motion Pictures, Undercover Productions",109,,Abhiyan Rajhans,"Sarika, Lynsey Pow, Frédéric Andrau",02-06-2006,N/A
Mandali,2023,Hindi,Drama,,118,,'Om' Rakesh Chaturvedi,,,
Ahista Ahista,2006,Hindi,"Drama, Romance",Anjum Rizvi Film Company,123,,Shivam Nair,"Abhay Deol, Soha Ali Khan, Shayan Munshi",18-08-2006,U
Housefull,2010,Hindi,"Comedy, Romance",Nadiadwala Grandson Entertainment,135,"29,22,50,000",Sajid Khan,"Akshay Kumar, Arjun Rampal, Riteish Deshmukh",30-04-2010,UA
Kick,2014,Hindi,"Action, Romance, Comedy, Crime","Nadiadwala Grandson Entertainment, UTV Motion Pictures",146,"1,83,70,00,000",Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Randeep Hooda",25-07-2014,U
Dabangg,2010,Hindi,"Action, Comedy, Crime","Arbaaz Khan Productions, Shree Ashtavinayak Cine Vision",130,"78,23,95,000",Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Arbaaz Khan",10-09-2010,UA
