Title,Year,Language,Run_Time_mins,Genre
Jannat,2008,Hindi,,
Bunty Aur Babli,2005,Hindi,170,"Comedy,Drama"
Jayantabhai Ki Luv Story,2013,Hindi,130,"Action,Comedy"
Minus 31: The Nagpur Files,2023,Hindi,,
Rukh,2017,Hindi,,
Tera Intezaar,2017,Hindi,108,Romance
Chaarfutiya Chhokare,2014,Hindi,,
Satyaprem Ki Katha,2023,Hindi,146,"Comedy,Drama,Musical"
Thalaivii,2021,Hindi,,
"Good Boy, Bad Boy",2007,Hindi,115,Comedy
Heropanti,2014,Hindi,146,"Action,Drama"
Veerey Ki Wedding,2018,Hindi,131,Comedy
The Killer,2006,Hindi,,
Housefull 3,2016,Hindi,140,
Summer 2007,2008,Hindi,166,"Crime,Drama"
Hawaa Hawaai,2014,Hindi,120,"Drama,Family"
Main Zaroor Aaunga,2019,Hindi,,
Sacred Evil â A True Story,2006,Hindi,,
Mandali,2023,Hindi,,
Ahista Ahista,2006,Hindi,,
Housefull,2010,Hindi,144,Comedy
Kick,2014,Hindi,,
Dabangg,2010,Hindi,126,"Action,Comedy,Crime"
Mere Brother Ki Dulhan,2011,Hindi,139,"Comedy,Drama,Family"
Mulk,2018,Hindi,140,
Karthik Calling Karthik,2010,Hindi,135,"Drama,Mystery,Romance"
Badlapur Boys,2014,Hindi,,
Dus,2005,Hindi,,
Future To Bright Hai Ji,2012,Hindi,,
Gold,2018,Hindi,,
Jai Ho,2014,Hindi,135,Action
Guest iin London,2017,Hindi,132,
Chhichhore,2019,Hindi,143,"Comedy,Drama"
Taare Zameen Par,2007,Hindi,,
Baadshaho,2017,Hindi,136,"Action,Adventure"
Halkaa,2018,Hindi,,
Fredrick,2016,Hindi,,
Thackeray,2019,Hindi,120,Biography
Socha Na Tha,2005,Hindi,,
Yaaram,2019,Hindi,,
The Film Emotional Atyachar,2010,Hindi,,
Yaariyan,2014,Hindi,164,"Comedy,Drama"
Bombairiya,2019,Hindi,104,"Comedy,Crime"
Parched,2016,Hindi,116,
Waarrior Savitri,2016,Hindi,,
Help,2010,Hindi,,
1971,2007,Hindi,136,"Action,Drama"
Desi Boyz,2011,Hindi,122,"Comedy,Drama"
My Friend Pinto,2011,Hindi,100,"Comedy,Crime"
Angel,2011,Hindi,,
Love in Bombay,2013,Hindi,,
De Dana Dan,2009,Hindi,162,Comedy
Vaada Raha,2009,Hindi,,
Mujib: The Making of a Nation,2023,Hindi,,
Chance Pe Dance,2010,Hindi,122,"Comedy,Drama"
Union Leader,2018,Hindi,,
Maan Gaye Mughal-e-Azam,2008,Hindi,,
Jazbaa,2015,Hindi,119,Drama
Anjaana Anjaani,2010,Hindi,151,"Comedy,Drama,Musical"
Rashmi Rocket,2021,Hindi,,
The Great Leader Kanshiram,2017,Hindi,,
Love Hostel,2022,Hindi,,
Dabangg,2010,Hindi,126,"Action,Comedy,Crime"
Ghost,2012,Hindi,,
Mitron,2018,Hindi,119,
Shahid,2013,Hindi,129,Biography
Hunterrr,2015,Hindi,,
Apaharan,2005,Hindi,173,"Action,Crime"
Fan,2016,Hindi,138,"Action,Drama"
Rock On!!,2008,Hindi,145,Drama
Manmarziyaan,2018,Hindi,,
Shaabash! You Can Do It[13],2009,Hindi,,
Singham,2011,Hindi,,
Station,2014,Hindi,,
Force 2,2016,Hindi,127,Action
Miss Tanakpur Haazir Ho,2015,Hindi,,
I Hate Luv Storys,2010,Hindi,129,"Comedy,Drama,Musical"
Ek Ladki Ko Dekha Toh Aisa Laga,2019,Hindi,120,Crime
Mere Dad Ki Maruti,2013,Hindi,101,"Comedy,Drama"
Chintu Ji,2009,Hindi,,
Namastey London,2007,Hindi,128,"Comedy,Drama"
Chopsticks,2019,Hindi,,
D Day,2013,Hindi,,
Chase,2010,Hindi,,
Hazaaron Khwaishein Aisi,2005,Hindi,,
Chicken Curry Law,2019,Hindi,,
Jai Veeru,2009,Hindi,,
Golmaal Again,2017,Hindi,140,"Action,Comedy"
Irada,2017,Hindi,109,"Drama,Mystery"
Jo Bole So Nihaal,2005,Hindi,125,"Action,Comedy"
Fever,2016,Hindi,,
99,2009,Hindi,135,"Comedy,Crime"
Operation Mayfair,2023,Hindi,116,Crime
Once Upon ay Time in Mumbai Dobaara!,2013,Hindi,,
Baaghi 2,2018,Hindi,137,"Action,Drama"
Shree,2013,Hindi,,
Chak De! India,2007,Hindi,153,"Drama,Family"
Laal Rang,2016,Hindi,147,"Comedy,Crime,Drama"
Munna Mange Memsaab,2014,Hindi,,
Laal Singh Chaddha,2022,Hindi,159,"Comedy,Drama"
Challo Driver,2012,Hindi,,
Jeena Hai Toh Thok Daal,2012,Hindi,,
Bhaiaji Superhit,2018,Hindi,,
Nazar Andaaz,2022,Hindi,,
Bang Bang!,2014,Hindi,,
Ferrari Ki Sawaari,2012,Hindi,140,"Comedy,Drama,Family"
Kacchey Limbu,2023,Hindi,,
Kyaa Kool Hai Hum,2005,Hindi,,
India's Most Wanted,2019,Hindi,123,Action
Kissebaaz,2019,Hindi,122,"Action,Comedy,Crime,Drama"
Tiku Weds Sheru,2023,Hindi,,
Dhamaka,2021,Hindi,,
Souten: The Other Woman,2006,Hindi,,
Shivaay,2016,Hindi,153,"Action,Crime,Drama"
Jackpot,2013,Hindi,,
Players,2012,Hindi,,
Gattu,2012,Hindi,,
